Indicador;Territorio;Año;Sexo;Grupo de edad;Nivel de estudios;Obesidad
Obesidad;Total ciudad;2024;Total;Total;Total;48.3000098347618
Obesidad;la Seu + la Xerea + el Carme + el Pilar + el Mercat + Sant Francesc;2024;Total;Total;Total;44.1441447221508
Obesidad;2.1 Russafa + el Pla del Remei + Gran Via;2024;Total;Total;Total;37.9032260937306
Obesidad;el Botànic + la Roqueta + la Petxina + Arrancapins;2024;Total;Total;Total;41.8032786704009
Obesidad;Campanar + les Tendetes + el Calvari + Sant Pau;2024;Total;Total;Total;41.3223139159948
Obesidad;Marxalenes + Morvedre + Trinitat + Tormos + Sant Antoni;2024;Total;Total;Total;53.7190080398175
Obesidad;Exposició + Mestalla + Jaume Roig + Ciutat Universitària;2024;Total;Total;Total;39.6039606832429
Obesidad;Nou Moles + Soternes + Tres Forques + la Fontsanta + la Llum;2024;Total;Total;Total;49.2063494643925
Obesidad;Patraix + Sant Isidre + Vara de Quart + el Safranar + Favara;2024;Total;Total;Total;56.4885496690194
Obesidad;la Raiosa + l'Hort de Senabre + la Creu Coberta + Sant Marcel·lí + Camí Real;2024;Total;Total;Total;44.961239927186
Obesidad;Mont-Olivet + en Corts + Malilla + la Fonteta de Sant Lluís + na Rovella + la Punta + Ciutat de les Arts i de les Ciències;2024;Total;Total;Total;49.6453899198132
Obesidad;el Grau + el Cabanyal-el Canyamelar + la Malva-rosa + Beteró + Natzaret;2024;Total;Total;Total;55.6451614606988
Obesidad;Aiora + Albors + la Creu del Grau + Camí Fondo + Penya-roja;2024;Total;Total;Total;47.445255682055
Obesidad;l'Illa Perduda + Ciutat Jardí + l'Amistat + la Bega Baixa + la Carrasca;2024;Total;Total;Total;43.8596487618693
Obesidad;Benimaclet + Camí de Vera;2024;Total;Total;Total;50.4424774013272
Obesidad;Orriols + Torrefiel + Sant Llorenç;2024;Total;Total;Total;52.7131788002483
Obesidad;16.1 Benicalap + Ciutat Fallera;2024;Total;Total;Total;55.9055114370615
Obesidad;Benifaraig + Poble Nou + Carpesa + Cases de Bàrcena + Mauella + Massarrojos + Borbotó ;2024;Total;Total;Total;33.3333353046595
Obesidad;Benimàmet + Beniferri;2024;Total;Total;Total;44.6808512860818
Obesidad;el Forn d'Alcedo + Castellar-l'Oliveral + Pinedo + el Saler + el Palmar + el Perellonet + la Torre + Faitanar;2024;Total;Total;Total;48.4210530787009
Obesidad;Total ciudad;2024;Hombre;Total;Total;55.0534354958077
Obesidad;la Seu + la Xerea + el Carme + el Pilar + el Mercat + Sant Francesc;2024;Hombre;Total;Total;58.8235291130703
Obesidad;2.1 Russafa + el Pla del Remei + Gran Via;2024;Hombre;Total;Total;51.7857133466833
Obesidad;el Botànic + la Roqueta + la Petxina + Arrancapins;2024;Hombre;Total;Total;50.8771932592118
Obesidad;Campanar + les Tendetes + el Calvari + Sant Pau;2024;Hombre;Total;Total;52.7272731583296
Obesidad;Marxalenes + Morvedre + Trinitat + Tormos + Sant Antoni;2024;Hombre;Total;Total;53.5714283383623
Obesidad;Exposició + Mestalla + Jaume Roig + Ciutat Universitària;2024;Hombre;Total;Total;51.1111117687454
Obesidad;Nou Moles + Soternes + Tres Forques + la Fontsanta + la Llum;2024;Hombre;Total;Total;56.6666674582985
Obesidad;Patraix + Sant Isidre + Vara de Quart + el Safranar + Favara;2024;Hombre;Total;Total;69.9999997363509
Obesidad;la Raiosa + l'Hort de Senabre + la Creu Coberta + Sant Marcel·lí + Camí Real;2024;Hombre;Total;Total;52.3809529588841
Obesidad;Mont-Olivet + en Corts + Malilla + la Fonteta de Sant Lluís + na Rovella + la Punta + Ciutat de les Arts i de les Ciències;2024;Hombre;Total;Total;49.2063494081931
Obesidad;el Grau + el Cabanyal-el Canyamelar + la Malva-rosa + Beteró + Natzaret;2024;Hombre;Total;Total;64.4067799902674
Obesidad;Aiora + Albors + la Creu del Grau + Camí Fondo + Penya-roja;2024;Hombre;Total;Total;53.0303032711329
Obesidad;l'Illa Perduda + Ciutat Jardí + l'Amistat + la Bega Baixa + la Carrasca;2024;Hombre;Total;Total;52.7272728380341
Obesidad;Benimaclet + Camí de Vera;2024;Hombre;Total;Total;47.1698118003602
Obesidad;Orriols + Torrefiel + Sant Llorenç;2024;Hombre;Total;Total;58.7301592227221
Obesidad;16.1 Benicalap + Ciutat Fallera;2024;Hombre;Total;Total;59.0163938166933
Obesidad;Benifaraig + Poble Nou + Carpesa + Cases de Bàrcena + Mauella + Massarrojos + Borbotó ;2024;Hombre;Total;Total;22.4999931139102
Obesidad;Benimàmet + Beniferri;2024;Hombre;Total;Total;46.9387751012456
Obesidad;el Forn d'Alcedo + Castellar-l'Oliveral + Pinedo + el Saler + el Palmar + el Perellonet + la Torre + Faitanar;2024;Hombre;Total;Total;54.3478262527852
Obesidad;Total ciudad;2024;Mujer;Total;Total;42.3089509933474
Obesidad;la Seu + la Xerea + el Carme + el Pilar + el Mercat + Sant Francesc;2024;Mujer;Total;Total;31.6666655156977
Obesidad;2.1 Russafa + el Pla del Remei + Gran Via;2024;Mujer;Total;Total;26.4705874710724
Obesidad;el Botànic + la Roqueta + la Petxina + Arrancapins;2024;Mujer;Total;Total;33.8461535482011
Obesidad;Campanar + les Tendetes + el Calvari + Sant Pau;2024;Mujer;Total;Total;31.8181821175268
Obesidad;Marxalenes + Morvedre + Trinitat + Tormos + Sant Antoni;2024;Mujer;Total;Total;53.8461536299124
Obesidad;Exposició + Mestalla + Jaume Roig + Ciutat Universitària;2024;Mujer;Total;Total;30.3571442584953
Obesidad;Nou Moles + Soternes + Tres Forques + la Fontsanta + la Llum;2024;Mujer;Total;Total;42.424242751363
Obesidad;Patraix + Sant Isidre + Vara de Quart + el Safranar + Favara;2024;Mujer;Total;Total;45.0704228176364
Obesidad;la Raiosa + l'Hort de Senabre + la Creu Coberta + Sant Marcel·lí + Camí Real;2024;Mujer;Total;Total;37.8787877617687
Obesidad;Mont-Olivet + en Corts + Malilla + la Fonteta de Sant Lluís + na Rovella + la Punta + Ciutat de les Arts i de les Ciències;2024;Mujer;Total;Total;50
Obesidad;el Grau + el Cabanyal-el Canyamelar + la Malva-rosa + Beteró + Natzaret;2024;Mujer;Total;Total;47.6923083704857
Obesidad;Aiora + Albors + la Creu del Grau + Camí Fondo + Penya-roja;2024;Mujer;Total;Total;42.2535213051359
Obesidad;l'Illa Perduda + Ciutat Jardí + l'Amistat + la Bega Baixa + la Carrasca;2024;Mujer;Total;Total;35.5932204673191
Obesidad;Benimaclet + Camí de Vera;2024;Mujer;Total;Total;53.3333319861215
Obesidad;Orriols + Torrefiel + Sant Llorenç;2024;Mujer;Total;Total;46.9696975160653
Obesidad;16.1 Benicalap + Ciutat Fallera;2024;Mujer;Total;Total;53.0303019225647
Obesidad;Benifaraig + Poble Nou + Carpesa + Cases de Bàrcena + Mauella + Massarrojos + Borbotó ;2024;Mujer;Total;Total;43.9024330400487
Obesidad;Benimàmet + Beniferri;2024;Mujer;Total;Total;42.2222200402015
Obesidad;el Forn d'Alcedo + Castellar-l'Oliveral + Pinedo + el Saler + el Palmar + el Perellonet + la Torre + Faitanar;2024;Mujer;Total;Total;42.8571433686495
Obesidad;Total ciudad;2024;Total;18-34;Total;32.7698004190029
Obesidad;la Seu + la Xerea + el Carme + el Pilar + el Mercat + Sant Francesc;2024;Total;18-34;Total;37.8378382161695
Obesidad;2.1 Russafa + el Pla del Remei + Gran Via;2024;Total;18-34;Total;25.0000008764289
Obesidad;el Botànic + la Roqueta + la Petxina + Arrancapins;2024;Total;18-34;Total;20.6896553862495
Obesidad;Campanar + les Tendetes + el Calvari + Sant Pau;2024;Total;18-34;Total;29.1666661007175
Obesidad;Marxalenes + Morvedre + Trinitat + Tormos + Sant Antoni;2024;Total;18-34;Total;29.0322563532613
Obesidad;Exposició + Mestalla + Jaume Roig + Ciutat Universitària;2024;Total;18-34;Total;16.1290333666676
Obesidad;Nou Moles + Soternes + Tres Forques + la Fontsanta + la Llum;2024;Total;18-34;Total;23.3333346197351
Obesidad;Patraix + Sant Isidre + Vara de Quart + el Safranar + Favara;2024;Total;18-34;Total;50
Obesidad;la Raiosa + l'Hort de Senabre + la Creu Coberta + Sant Marcel·lí + Camí Real;2024;Total;18-34;Total;31.2499988384926
Obesidad;Mont-Olivet + en Corts + Malilla + la Fonteta de Sant Lluís + na Rovella + la Punta + Ciutat de les Arts i de les Ciències;2024;Total;18-34;Total;30.7692302425259
Obesidad;el Grau + el Cabanyal-el Canyamelar + la Malva-rosa + Beteró + Natzaret;2024;Total;18-34;Total;40.7407415268319
Obesidad;Aiora + Albors + la Creu del Grau + Camí Fondo + Penya-roja;2024;Total;18-34;Total;28.5714285714286
Obesidad;l'Illa Perduda + Ciutat Jardí + l'Amistat + la Bega Baixa + la Carrasca;2024;Total;18-34;Total;36.1111102493485
Obesidad;Benimaclet + Camí de Vera;2024;Total;18-34;Total;36.666664720694
Obesidad;Orriols + Torrefiel + Sant Llorenç;2024;Total;18-34;Total;40.6250004150357
Obesidad;16.1 Benicalap + Ciutat Fallera;2024;Total;18-34;Total;53.3333337457529
Obesidad;Benifaraig + Poble Nou + Carpesa + Cases de Bàrcena + Mauella + Massarrojos + Borbotó ;2024;Total;18-34;Total;17.6470671112837
Obesidad;Benimàmet + Beniferri;2024;Total;18-34;Total;20.8333320548057
Obesidad;el Forn d'Alcedo + Castellar-l'Oliveral + Pinedo + el Saler + el Palmar + el Perellonet + la Torre + Faitanar;2024;Total;18-34;Total;13.6363607364171
Obesidad;Total ciudad;2024;Total;35-64;Total;49.5045780505284
Obesidad;la Seu + la Xerea + el Carme + el Pilar + el Mercat + Sant Francesc;2024;Total;35-64;Total;47.2727277863829
Obesidad;2.1 Russafa + el Pla del Remei + Gran Via;2024;Total;35-64;Total;42.6229514000325
Obesidad;el Botànic + la Roqueta + la Petxina + Arrancapins;2024;Total;35-64;Total;34.9999995504105
Obesidad;Campanar + les Tendetes + el Calvari + Sant Pau;2024;Total;35-64;Total;39.6825389433408
Obesidad;Marxalenes + Morvedre + Trinitat + Tormos + Sant Antoni;2024;Total;35-64;Total;56.66666692045
Obesidad;Exposició + Mestalla + Jaume Roig + Ciutat Universitària;2024;Total;35-64;Total;46.8085101560129
Obesidad;Nou Moles + Soternes + Tres Forques + la Fontsanta + la Llum;2024;Total;35-64;Total;57.575757821098
Obesidad;Patraix + Sant Isidre + Vara de Quart + el Safranar + Favara;2024;Total;35-64;Total;53.0303026126771
Obesidad;la Raiosa + l'Hort de Senabre + la Creu Coberta + Sant Marcel·lí + Camí Real;2024;Total;35-64;Total;49.2307694720643
Obesidad;Mont-Olivet + en Corts + Malilla + la Fonteta de Sant Lluís + na Rovella + la Punta + Ciutat de les Arts i de les Ciències;2024;Total;35-64;Total;51.3888890047914
Obesidad;el Grau + el Cabanyal-el Canyamelar + la Malva-rosa + Beteró + Natzaret;2024;Total;35-64;Total;50.7042255307525
Obesidad;Aiora + Albors + la Creu del Grau + Camí Fondo + Penya-roja;2024;Total;35-64;Total;45.0704224608882
Obesidad;l'Illa Perduda + Ciutat Jardí + l'Amistat + la Bega Baixa + la Carrasca;2024;Total;35-64;Total;42.10526367352
Obesidad;Benimaclet + Camí de Vera;2024;Total;35-64;Total;50
Obesidad;Orriols + Torrefiel + Sant Llorenç;2024;Total;35-64;Total;56.5217392375543
Obesidad;16.1 Benicalap + Ciutat Fallera;2024;Total;35-64;Total;57.9710149605262
Obesidad;Benifaraig + Poble Nou + Carpesa + Cases de Bàrcena + Mauella + Massarrojos + Borbotó ;2024;Total;35-64;Total;28.8888855770604
Obesidad;Benimàmet + Beniferri;2024;Total;35-64;Total;50
Obesidad;el Forn d'Alcedo + Castellar-l'Oliveral + Pinedo + el Saler + el Palmar + el Perellonet + la Torre + Faitanar;2024;Total;35-64;Total;59.5744676879883
Obesidad;Total ciudad;2024;Total;>=65;Total;62.4080388305766
Obesidad;la Seu + la Xerea + el Carme + el Pilar + el Mercat + Sant Francesc;2024;Total;>=65;Total;47.3684214113131
Obesidad;2.1 Russafa + el Pla del Remei + Gran Via;2024;Total;>=65;Total;40.000001121829
Obesidad;el Botànic + la Roqueta + la Petxina + Arrancapins;2024;Total;>=65;Total;72.7272719841496
Obesidad;Campanar + les Tendetes + el Calvari + Sant Pau;2024;Total;>=65;Total;52.9411753426065
Obesidad;Marxalenes + Morvedre + Trinitat + Tormos + Sant Antoni;2024;Total;>=65;Total;73.3333319121468
Obesidad;Exposició + Mestalla + Jaume Roig + Ciutat Universitària;2024;Total;>=65;Total;56.5217403891394
Obesidad;Nou Moles + Soternes + Tres Forques + la Fontsanta + la Llum;2024;Total;>=65;Total;56.6666659739888
Obesidad;Patraix + Sant Isidre + Vara de Quart + el Safranar + Favara;2024;Total;>=65;Total;70.9677430054436
Obesidad;la Raiosa + l'Hort de Senabre + la Creu Coberta + Sant Marcel·lí + Camí Real;2024;Total;>=65;Total;50
Obesidad;Mont-Olivet + en Corts + Malilla + la Fonteta de Sant Lluís + na Rovella + la Punta + Ciutat de les Arts i de les Ciències;2024;Total;>=65;Total;70
Obesidad;el Grau + el Cabanyal-el Canyamelar + la Malva-rosa + Beteró + Natzaret;2024;Total;>=65;Total;84.6153838887653
Obesidad;Aiora + Albors + la Creu del Grau + Camí Fondo + Penya-roja;2024;Total;>=65;Total;74.1935486210172
Obesidad;l'Illa Perduda + Ciutat Jardí + l'Amistat + la Bega Baixa + la Carrasca;2024;Total;>=65;Total;61.9047598787405
Obesidad;Benimaclet + Camí de Vera;2024;Total;>=65;Total;64.516128471504
Obesidad;Orriols + Torrefiel + Sant Llorenç;2024;Total;>=65;Total;57.1428571428572
Obesidad;16.1 Benicalap + Ciutat Fallera;2024;Total;>=65;Total;53.5714289265091
Obesidad;Benifaraig + Poble Nou + Carpesa + Cases de Bàrcena + Mauella + Massarrojos + Borbotó ;2024;Total;>=65;Total;57.8947288803503
Obesidad;Benimàmet + Beniferri;2024;Total;>=65;Total;58.3333316286296
Obesidad;el Forn d'Alcedo + Castellar-l'Oliveral + Pinedo + el Saler + el Palmar + el Perellonet + la Torre + Faitanar;2024;Total;>=65;Total;57.692308211381
